region,estacion,sitio,taxon_como_en_la_planilla,abundancia
Puna argentina,otoño,Sitio 12,Baetidae,16
Puna argentina,otoño,Sitio 12,Gripopterigidae,2
Puna argentina,otoño,Sitio 1,Hydroptylidae,9
Puna argentina,otoño,Sitio 2,Hydroptylidae,5
Puna argentina,otoño,Sitio 12,Hydroptylidae,1
Puna argentina,otoño,Sitio 5,Hydropsychidae,3
Puna argentina,otoño,Sitio 12,Hydropsychidae,1
Puna argentina,otoño,Sitio 12,Limnephilidae,2
Puna argentina,otoño,Sitio 2,Polycentropodidae,1
Puna argentina,otoño,Sitio 3,Polycentropodidae,2
Puna argentina,otoño,Sitio 10,Polycentropodidae,7
Puna argentina,otoño,Sitio 12,Polycentropodidae,1
Puna argentina,otoño,Sitio 1,Chironomidae,33
Puna argentina,otoño,Sitio 2,Chironomidae,45
Puna argentina,otoño,Sitio 3,Chironomidae,41
Puna argentina,otoño,Sitio 4,Chironomidae,56
Puna argentina,otoño,Sitio 5,Chironomidae,13
Puna argentina,otoño,Sitio 6,Chironomidae,32
Puna argentina,otoño,Sitio 7,Chironomidae,1
Puna argentina,otoño,Sitio 8,Chironomidae,11
Puna argentina,otoño,Sitio 9,Chironomidae,9
Puna argentina,otoño,Sitio 10,Chironomidae,7
Puna argentina,otoño,Sitio 11,Chironomidae,17
Puna argentina,otoño,Sitio 12,Chironomidae,234
Puna argentina,otoño,Sitio 2,Ceratopogonidae,3
Puna argentina,otoño,Sitio 4,Ceratopogonidae,3
Puna argentina,otoño,Sitio 12,Ceratopogonidae,1
Puna argentina,otoño,Sitio 3,Empididae,6
Puna argentina,otoño,Sitio 4,Empididae,1
Puna argentina,otoño,Sitio 2,Simulidae,5
Puna argentina,otoño,Sitio 5,Simulidae,2
Puna argentina,otoño,Sitio 12,Simulidae,33
Puna argentina,otoño,Sitio 3,Ephydridae,5
Puna argentina,otoño,Sitio 4,Ephydridae,3
Puna argentina,otoño,Sitio 6,Ephydridae,5
Puna argentina,otoño,Sitio 7,Ephydridae,2
Puna argentina,otoño,Sitio 9,Ephydridae,1
Puna argentina,otoño,Sitio 10,Ephydridae,12
Puna argentina,otoño,Sitio 11,Ephydridae,2
Puna argentina,otoño,Sitio 12,Ephydridae,9
Puna argentina,otoño,Sitio 5,Muscidae,8
Puna argentina,otoño,Sitio 6,Muscidae,8
Puna argentina,otoño,Sitio 7,Muscidae,4
Puna argentina,otoño,Sitio 11,Muscidae,3
Puna argentina,otoño,Sitio 2,Limoniidae,4
Puna argentina,otoño,Sitio 3,Limoniidae,9
Puna argentina,otoño,Sitio 6,Limoniidae,6
Puna argentina,otoño,Sitio 12,Limoniidae,7
Puna argentina,otoño,Sitio 5,Dolichopodidae,4
Puna argentina,otoño,Sitio 6,Dolichopodidae,5
Puna argentina,otoño,Sitio 11,Dolichopodidae,1
Puna argentina,otoño,Sitio 12,Dolichopodidae,8
Puna argentina,otoño,Sitio 1,Elmidae,5
Puna argentina,otoño,Sitio 2,Elmidae,34
Puna argentina,otoño,Sitio 5,Elmidae,12
Puna argentina,otoño,Sitio 10,Elmidae,5
Puna argentina,otoño,Sitio 12,Elmidae,34
