# Diccionario español → inglés de la interfaz de Kenti. Una entrada por línea: texto en español, TAB, texto en inglés.
# {0}, {1}… marcan partes variables (números, nombres); en inglés pueden ir en otro orden.
# Las líneas que empiezan con # se ignoran. Los espacios dentro del texto se comparan colapsados.
# ---------- Encabezado, pestañas y botones generales ----------
Kenti Macroinvertebrados	Kenti Macroinvertebrates
macroinvertebrados	macroinvertebrates
Macroinvertebrados	Macroinvertebrates
Macroinvertebrados bentónicos · índices bióticos	Benthic macroinvertebrates · biotic indices
Logo de Kenti: picaflor cometa (Sappho sparganurus)	Kenti logo: red-tailed comet hummingbird (Sappho sparganurus)
Datos de ejemplo	Example data
Cada grupo taxonómico tiene su usuario	Each taxonomic group has its own user
Usuario	User
v{0} prueba	v{0} beta
Secciones	Sections
Tabla de datos	Data table
Diversidad alfa	Alpha diversity
Diversidad beta	Beta diversity
Correlación y PCA	Correlation and PCA
Índices bióticos	Biotic indices
Guarda un libro de Excel con la tabla, los índices y los gráficos de todas las pestañas	Saves an Excel workbook with the table, the indices and the charts of every tab
Exportar a Excel	Export to Excel
Grupo a analizar	Group to analyse
Ver	View
Idioma · Language	Idioma · Language
# ---------- Pestaña 1 · datos ----------
Tabla de {0} por sitio	Table of {0} by site
Tabla de algas por sitio	Table of algae by site
Medida	Measure
Unidad de muestreo	Sampling unit
Qué representan los números de la tabla. No cambia los cálculos, sólo cómo se nombran.	What the numbers in the table represent. It does not change the calculations, only how they are labelled.
Cargar tabla de Excel	Load table from Excel
Pegar tabla desde Excel	Paste table from Excel
Agregar taxón	Add taxon
Agregar sitio	Add site
Vaciar tabla	Clear table
Estás viendo una tabla de ejemplo con	You are looking at an example table with
de la Puna. Pega tu planilla para reemplazarla.	from the Puna. Paste your spreadsheet to replace it.
Restaurar ejemplo	Restore example
Enter baja a la fila siguiente · puedes pegar un bloque de números sobre cualquier celda	Enter moves to the next row · you can paste a block of numbers onto any cell
Clasificación en línea	Online classification
Completar al pegar	Fill in on paste
Completar	Fill in
Familia de cada taxón	Family of each taxon
Kenti propone la familia a partir del género, la especie o la familia escrita en la columna del taxón, y con ella calcula el BMWP', el ASPT' y el ABI.	Kenti proposes the family from the genus, the species or the family written in the taxon column, and uses it to compute the BMWP', the ASPT' and the ABI.
En azul	In blue
las propuestas;	its proposals;
en ámbar	in amber
las que corrigen una grafía o piden elegir. Lo que escribas tú no se toca; si borras una celda, vuelve la propuesta.	those that correct a spelling or ask you to choose. What you type is never changed; if you clear a cell, the proposal comes back.
Lo que no está en la lista incorporada se busca en GBIF; necesita internet la primera vez, después queda guardado	Whatever is not in the built-in list is looked up in GBIF; it needs internet the first time, then it is stored
Buscar en GBIF al pegar	Look up in GBIF on paste
Buscar en GBIF	Look up in GBIF
Las propuestas pasan a contar como escritas por ti: ya no cambian si cambias el nombre	Proposals will count as typed by you: they no longer change if you change the name
Aceptar propuestas	Accept proposals
Lista incorporada: géneros de macroinvertebrados acuáticos con registros en Sudamérica según GBIF (Backbone Taxonomy), con la familia aceptada. Funciona sin internet. Los ancílidos van como Ancylidae porque así los puntúan el BMWP' y el ABI.	Built-in list: genera of aquatic macroinvertebrates with records in South America according to GBIF (Backbone Taxonomy), with the accepted family. Works offline. Ancylids are kept as Ancylidae because that is how the BMWP' and the ABI score them.
· Kenti guarda cada cambio en	· Kenti saves every change in
Abrir carpeta de datos	Open data folder
Primera fila los sitios; primera columna los taxones, al nivel que se haya llegado: especie, género, familia o un grupo como Oligochaeta. La Familia, a la izquierda, se completa sola: Kenti la propone y la marca en azul; lo que escribas tú no lo cambia. Los índices bióticos se calculan con esa familia. Una celda vacía cuenta como cero.	First row: the sites; first column: the taxa, at whatever level they were identified: species, genus, family or a group such as Oligochaeta. The Family column, on the left, fills itself in: Kenti proposes it and marks it in blue; what you type is never changed. The biotic indices are computed from that family. An empty cell counts as zero.
Taxón	Taxon
taxón	taxon
taxones	taxa
Taxones	Taxa
Especie	Species
especie	species
especies	species
una especie	a species
Familia	Family
Familias	Families
familia	family
Individuos	Individuals
individuos	individuals
Sitio	Site
Sitio nuevo	New site
Taxón nueva	New taxon
Taxón {#0}	Taxon {0}
{t0} en {t1}	{0} at {1}
Familia de {0}	Family of {0}
Quitar el sitio {0}	Remove site {0}
Quitar {0}	Remove {0}
