familia_o_grupo,puntaje,orden_o_grupo,nota
Oligoneuriidae,10,,
Gripopterygidae,10,,
Perlidae,10,,
Odontoceridae,10,,
Psephenidae,10,,
Athericidae,10,,
Blephariceridae,10,,
Calamoceratidae,9,,
Hydrobiosidae,9,,
Leptoceridae,9,,
Xiphocentronidae,9,,
Ptilodactylidae,9,,
Leptophlebiidae,9,,
Euthyplociidae,9,,
Polymitarcyidae,9,,original: «Polymitarcydae»
Helicopsychidae,8,,
Psychomyiidae,8,,
Glossosomatidae,8,,
Philopotamidae,8,,
Polycentropodidae,8,,
Simuliidae,8,,
Gomphidae,8,,
Polythoridae,8,,
Megapodagrionidae,8,,
Leptohyphidae,7,,
Hydraenidae,7,,
Scirtidae,7,,
Corydalidae,7,,
Calopterygidae,7,,
Limnephilidae,7,,
Hydroptilidae,7,,
Aeshnidae,6,,
Coenagrionidae,6,,
Libellulidae,6,,
Ancylidae,6,,
Corixidae,6,,
Naucoridae,6,,
Notonectidae,6,,
Mesoveliidae,6,,
Hebridae,6,,
Dixidae,6,,
Psychodidae,6,,
Dryopidae,6,,
Lutrochidae,6,,
Baetidae,5,,
Elmidae,5,,
Staphylinidae,5,,
Dytiscidae,5,,
Noteridae,5,,
Pyralidae,5,,
Hydropsychidae,5,,
Tipulidae,5,,
Belostomatidae,5,,
Gerridae,5,,
Nepidae,5,,
Veliidae,5,,
Hydrobiidae,5,,
Ampullariidae,5,,original: «Ampullaridae»
Caenidae,4,,
Hydrophilidae,4,,
Haliplidae,4,,
Heteroceridae,4,,
Gyrinidae,4,,
Ceratopogonidae,4,,
Dolichopodidae,4,,
Empididae,4,,
Tabanidae,4,,
Stratiomyidae,4,,
Pleidae,4,,
Gelastocoridae,4,,
Hydracarina,4,,original: «Hidracarina»
Planorbidae,4,,original: «Planorbiidae»
Physidae,4,,
Lymnaeidae,4,,
Aeglidae,4,,
Palaemonidae,4,,
Sphaeriidae,4,,
Amphipoda,4,,"original: «Amphypoda» (orden, sin familia)"
Ostracoda,4,,
Planariidae,4,,
Nematoda,4,,
Muscidae,3,,
Glossiphoniidae,3,,
Chironomidae,2,,
Culicidae,2,,
Ephydridae,2,,
Hyriidae,2,,
Oligochaeta,1,,
