familia_o_grupo,puntaje,orden_o_grupo,nota
Leptophlebiidae,10,,
Tricorythidae,10,,original: «Trichoritidae»
Perlidae,10,,
Corydalidae,10,,
Libellulidae,10,,
Leptoceridae,10,,
Odontoceridae,10,,
Psephenidae,10,,
Pyralidae,10,,
Glossosomatidae,8,,
Philopotamidae,8,,
Odonata (varias fam.),8,,
Rhyacophilidae,7,,
Limnephilidae,7,,
Hydroptilidae,6,,
Unionidae,6,,
Oligoneuriidae,5,,original: «Oligoneuridae»
Elmidae,5,,
Staphylinidae,5,,original: «Staphylilnidae»
Hydropsychidae,5,,
Tipulidae,5,,
Simuliidae,5,,
Mycetopodidae,5,,
Baetidae,4,,
Caenidae,4,,
Haliplidae,4,,
Tabanidae,4,,
Dixidae,4,,
Stratiomyidae,4,,
Empididae,4,,
Dolichopodidae,4,,
Ceratopogonidae,4,,
Psychodidae,4,,
Palaemonidae,4,,
Aeglidae,4,,
Hydracarina,4,,original: «Hidracarina»
Dytiscidae,3,,
Hydrophilidae,3,,
Physidae,3,,
Lymnaeidae,3,,
Planorbidae,3,,
Ancylidae,3,,
Trichodactylidae,3,,
Ostracoda,3,,
Copepoda,3,,
Hemiptera (varias fam.),3,,
Hirudinea,3,,
Chironomidae,2,,
Culicidae,2,,
Ephydridae,2,,
Ampullariidae,2,,original: «Ampularidae»
Oligochaeta,1,,
Chironomidae (rojos),1,,
